,headline
0,they re being called walmart s worst nightmare and i really hope it comes true 
1,they re being called walmart s worst nightmare and i really hope it comes true 
2,they re being called walmart s worst nightmare and i really hope it comes true 
3,this is what sexism against men sounds like 
4,this is what sexism against men sounds like 
5,this is what sexism against men sounds like 
6,this is what sexism against men sounds like 
7,this is what sexism against men sounds like 
8,this is what sexism against men sounds like 
9,this is what sexism against men sounds like 
10,this is what sexism against men sounds like 
11,kim jong un would really hate for you to watch this which is exactly why you should 
12,what they learned from the scientist was terrifying but that s what they needed to hear 
13,kim jong un would really hate for you to watch this which is exactly why you should 
14,kim jong un would really hate for you to watch this which is exactly why you should 
15,kim jong un would really hate for you to watch this which is exactly why you should 
16,kim jong un would really hate for you to watch this which is exactly why you should 
17,kim jong un would really hate for you to watch this which is exactly why you should 
18,a bunch of celebrities recorded a song to raise money for ebola meet the one who said no thanks 
19,a bunch of celebrities recorded a song to raise money for ebola meet the one who said no thanks 
20,a bunch of celebrities recorded a song to raise money for ebola meet the one who said no thanks 
21,a bunch of celebrities recorded a song to raise money for ebola meet the one who said no thanks 
22,a science guy helps dudes from america understand what they re really up against 
23,he sat them down and told them about an imminent death which is why they came to australia 
24,the of them needed to see it in person and the fact that it was beautiful made it even worse 
25,they may not be the most handsome dudes but they re passionate and they have a mission 
26,the selfies were already bad enough but then there was everything else this woman may have issues 
27,warning beware of her selfies and stereotypes she s doing pretty much everything wrong 
28,sigh i wanted to like this woman but the selfies were too much also everything else about her 
29,a couple that loves to travel together came up with a genius idea 
30,my mom forced me to study when i was a kid these parents don t want kids to take this test at all 
31,colbert asked eva longoria if she produced a tomato but what she really produced is so much better 
32,without our food chains we d all be in the hunger games 
33,from wisteria lane to the farm actress eva longoria has it together 
34,in this world pounds is worth only holy crap that s not good 
35,what are walmart and whole foods doing that wendy s isn t 
36,nothing prepared me for this mind bending nasa video about what went on across the earth during 
37,nothing prepared me for this mind bending nasa video about what went on across the earth during 
38,nothing prepared me for this mind bending nasa video about what went on across the earth during 
39,nothing prepared me for this mind bending nasa video about what went on across the earth during 
40,a couple that loves to travel together came up with a genius idea 
41,a couple that loves to travel together came up with a genius idea 
42,a couple that loves to travel together came up with a genius idea 
43,a couple that loves to travel together came up with a genius idea 
44,a couple that loves to travel together came up with a genius idea 
45,here s what every school should put right next to the swing set 
46,a bunch of schools in oregon tried an experiment and the results just wow 
47,i wish my nd grade class had been like this these kids are the luckiest ever 
48,a bunch of schools in oregon are phasing out gross meat surprise for lunch and phasing them in 
49,a bunch of schools in oregon are trying a big experiment spoiler alert everyone loves it 
50,kim jong un would really hate for you to watch this which is exactly why you should 
51,this stunning nasa video gave me a whole new way to think about what happens in that sky up there 
52,kim jong un would really hate for you to watch this which is exactly why you should 
53,kim jong un would really hate for you to watch this which is exactly why you should 
54,kim jong un would really hate for you to watch this which is exactly why you should 
55,nothing prepared me for this mind bending nasa video about what went on across the earth during 
56,nothing prepared me for this mind bending nasa video about what happened in the atmosphere in 
57,you think you know what happens in the atmosphere this mind bending nasa video says maybe not 
58,mind bent this nasa video about what happened in the atmosphere in is what did it 
59,she took personal photos she found in an awful tragedy and put them all over facebook well done 
60,she found other people s personal photos in an awful tragedy then she put them all over facebook 
61,a touching story about taking other people s personal photos and posting them on facebook 
62,colbert asked eva longoria if she produced a tomato but what she really produced is so much better 
63,eva longoria got a full audience of people to laugh and applaud a tomato 
64,eva longoria got a full audience of people to laugh applaud and boo over tomatoes 
65,if you re planning on eating a blt that s heavy on the t you might want to watch this first 
66,a famous actress visits a talk show to plug a movie she s not even in 
67,a bunch of schools in oregon tried an experiment and the results just wow 
68,a bunch of schools in oregon tried an experiment and the results just wow 
69,a bunch of schools in oregon tried an experiment and the results just wow 
70,a bunch of schools in oregon tried an experiment and the results just wow 
71,she let strangers ask her questions about lesbians then her raised eyebrow game shamed us all 
72,people ask this lesbian questions and her raised eyebrow game shames us all 
73,people ask this lesbian questions and her raised eyebrow game shames us all 
74,people ask this lesbian questions and her raised eyebrow game shames us all 
75,kim jong un would really hate for you to watch this which is exactly why you should 
76,kim jong un would really hate for you to watch this which is exactly why you should 
77,this dictator would really hate for you to watch this which is exactly why you should 
78,this dictator would really hate for you to watch this which is exactly why you should 
79,people freak out when he hits her in public watch what happens when she hits him 
80,people freak out when he hits her in public watch what happens when she hits him 
81,people freak out when he hits her in public watch what happens when she hits him 
82,a lot of celebs stare awkwardly at the camera without saying a word here s why they re so quiet 
83,when these bright eyed young people shared their secret my stomach dropped 
84,people freak out when he hits her in public watch what happens when she hits him 
85,when these bright eyed young people shared their secret my stomach dropped 
86,when these bright eyed young people shared their secret my stomach dropped 
