,headline,excerpt,share_text
0,called walmart worst nightmare really hope comes true,Things that matter. Pass 'em on.,Anyone who's ever felt guilty about shopping about Walmart will be relieved to see this.
1,called walmart worst nightmare really hope comes true,Things that matter. Pass 'em on.,Walmart is getting schooled by another retailer. And my God it does it feel good.
2,called walmart worst nightmare really hope comes true,Things that matter. Pass 'em on.,"Walmart may not be crapping their pants over their new competition, but I sincerely hope they do."
3,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
4,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
5,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
6,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
7,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
8,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
9,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
10,sexism men sounds like,Things that matter. Pass 'em on.,"If you ever wondered, ""but what about the men?,"" this one is all about the men."
11,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
12,learned scientist terrifying needed hear,Things that matter. Pass 'em on.,
13,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
14,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
15,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
16,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
17,kim jong un would really hate watch exactly,Things that matter. Pass 'em on.,
18,bunch celebrities recorded song raise money ebola meet one said thanks,Things that matter. Pass 'em on.,Powerful quotes from the musician who turned down the ebola crisis charity song.
19,bunch celebrities recorded song raise money ebola meet one said thanks,He didn't want to say no. He had to. ,Powerful quotes from the musician who turned down the ebola crisis charity song.
20,bunch celebrities recorded song raise money ebola meet one said thanks,"Uh, yeah they have Christmas in Africa. ",Powerful quotes from the musician who turned down the ebola crisis charity song.
21,bunch celebrities recorded song raise money ebola meet one said thanks,"They've already raised millions, but at what cost?",Powerful quotes from the musician who turned down the ebola crisis charity song.
22,science guy helps dudes america understand really,Things that matter. Pass 'em on.,
23,sat told imminent death came australia,Things that matter. Pass 'em on.,
24,needed see person fact beautiful made even worse,Things that matter. Pass 'em on.,
25,may handsome dudes passionate mission,Things that matter. Pass 'em on.,
26,selfies already bad enough everything else woman may issues,Things that matter. Pass 'em on.,The sad thing is that she thinks she's helping.
27,warning beware selfies stereotypes pretty much everything wrong,Things that matter. Pass 'em on.,The sad thing is that she thinks she's helping.
28,sigh wanted like woman selfies much also everything else,Things that matter. Pass 'em on.,The sad thing is that she thinks she's helping.
29,couple loves travel together came genius idea,Things that matter. Pass 'em on.,
30,mom forced study kid parents want kids take test,,
31,colbert asked eva longoria produced tomato really produced much better,Things that matter. Pass 'em on.,
32,without food chains hunger games,Things that matter. Pass 'em on.,
33,wisteria lane farm actress eva longoria together,Things that matter. Pass 'em on.,
34,world pounds worth holy crap good,Things that matter. Pass 'em on.,
35,walmart whole foods wendy,Things that matter. Pass 'em on.,
36,nothing prepared mind bending nasa video went across earth,Things that matter. Pass 'em on.,
37,nothing prepared mind bending nasa video went across earth,Things that matter. Pass 'em on.,
38,nothing prepared mind bending nasa video went across earth,Things that matter. Pass 'em on.,
39,nothing prepared mind bending nasa video went across earth,Things that matter. Pass 'em on.,
