,headline,clicks,impressions,click_rate,processed_headline_nostpw,processed_headline_stpw,headline_tokens,entities
0,they're called 'walmart's worst nightmare ' really hope comes true ,128.5,3048.75,23.72568093385214,they're called 'walmart's worst nightmare ' really hope comes true,they're called 'walmart's worst nightmare ' really hope comes true ,they're called 'walmart's worst nightmare ' really hope comes true ,[hope]
1,sexism men sounds like,87.11111111111111,3412.777777777778,39.17729591836735,sexism men sounds like,sexism men sounds like ,sexism men sounds like,[men]
2,kim jong un would really hate watch exactly,115.91666666666667,3463.5,29.879223580158158,kim jong un would really hate watch exactly,kim jong un would really hate watch exactly ,kim jong un would really hate watch exactly,[un]
3,learned scientist terrifying that's needed hear ,51.0,4594.0,90.07843137254902,learned scientist terrifying that's needed hear,learned scientist terrifying that's needed hear ,learned scientist terrifying that's needed hear ,[]
4,bunch celebrities recorded song raise money ebola meet one said 'no thanks' ,192.25,3870.0,20.13003901170351,bunch celebrities recorded song raise money ebola meet one said 'no thanks',bunch celebrities recorded song raise money ebola meet one said 'no thanks' ,bunch celebrities recorded song raise money ebola meet one said 'no thanks' ,"[celebrities, song, one]"
5,science guy helps dudes america understand they're really,20.833333333333332,3300.1666666666665,158.40800000000002,science guy helps dudes america understand they're really,science guy helps dudes america understand they're really ,science guy helps dudes america understand they're really,"[guy, america, they]"
6,sat told imminent death came australia,27.0,4601.0,170.40740740740742,sat told imminent death came australia,sat told imminent death came australia ,sat told imminent death came australia,[]
7, needed see person fact beautiful made even worse,63.0,4567.0,72.4920634920635,needed see person fact beautiful made even worse, needed see person fact beautiful made even worse , needed see person fact beautiful made even worse,"[person, beautiful]"
8,may handsome dudes they're passionate mission ,44.0,4524.0,102.81818181818181,may handsome dudes they're passionate mission,may handsome dudes they're passionate mission ,may handsome dudes they're passionate mission ,[they]
9,selfies already bad enough everything else woman may issues ,189.0,4527.0,23.952380952380953,selfies already bad enough everything else woman may issues,selfies already bad enough everything else woman may issues ,selfies already bad enough everything else woman may issues ,"[selfies, woman]"
10,warning beware selfies stereotypes pretty much everything wrong ,154.0,4600.0,29.87012987012987,warning beware selfies stereotypes pretty much everything wrong,warning beware selfies stereotypes pretty much everything wrong ,warning beware selfies stereotypes pretty much everything wrong ,[selfies]
11,sigh wanted like woman selfies much also everything else her ,162.0,4603.0,28.41358024691358,sigh wanted like woman selfies much also everything else,sigh wanted like woman selfies much also everything else her ,sigh wanted like woman selfies much also everything else her ,[sigh]
12,couple loves travel together came genius idea ,35.0,3017.0,86.2,couple loves travel together came genius idea,couple loves travel together came genius idea ,couple loves travel together came genius idea ,"[couple, loves, idea]"
13,mom forced study kid parents want kids take test all ,14.0,2188.0,156.28571428571428,mom forced study kid parents want kids take test,mom forced study kid parents want kids take test all ,mom forced study kid parents want kids take test all ,"[mom, parents, kids]"
14,colbert asked eva longoria produced tomato really produced much better,42.0,3323.5,79.13095238095238,colbert asked eva longoria produced tomato really produced much better,colbert asked eva longoria produced tomato really produced much better ,colbert asked eva longoria produced tomato really produced much better,[colbert]
15,without 'food chains' we'd 'the hunger games',15.0,3529.0,235.26666666666668,without 'food chains' we'd 'the hunger games',without 'food chains' we'd 'the hunger games' ,without 'food chains' we'd 'the hunger games',[we]
16,wisteria lane farm actress eva longoria together,16.0,3573.0,223.3125,wisteria lane farm actress eva longoria together,wisteria lane farm actress eva longoria together ,wisteria lane farm actress eva longoria together,[]
17,world pounds worth holy crap that's good ,25.0,3616.0,144.64,world pounds worth holy crap that's good,world pounds worth holy crap that's good ,world pounds worth holy crap that's good ,[that]
18,walmart whole foods wendy's isn't ,30.0,3485.0,116.16666666666667,walmart whole foods wendy's,walmart whole foods wendy's isn't ,walmart whole foods wendy's isn't ,[wendy]
19,nothing prepared mind bending nasa video went across earth ,44.333333333333336,3046.8333333333335,68.72556390977444,nothing prepared mind bending nasa video went across earth,nothing prepared mind bending nasa video went across earth ,nothing prepared mind bending nasa video went across earth ,[nothing]
20,couple loves travel together came genius idea,66.8,3051.4,45.67964071856288,couple loves travel together came genius idea,couple loves travel together came genius idea ,couple loves travel together came genius idea,"[couple, loves, idea]"
21,here's every school put right next swing set,28.0,2988.0,106.71428571428571,here's every school put right next swing set,here's every school put right next swing set ,here's every school put right next swing set,[school]
22,bunch schools oregon tried experiment results wow ,49.8,3035.8,60.95983935742973,bunch schools oregon tried experiment results wow,bunch schools oregon tried experiment results wow ,bunch schools oregon tried experiment results wow ,[schools]
23,wish nd grade class like this kids luckiest ever ,24.0,3048.0,127.0,wish nd grade class like kids luckiest ever,wish nd grade class like this kids luckiest ever ,wish nd grade class like this kids luckiest ever ,[]
24,bunch schools oregon phasing 'gross meat surprise' lunch phasing,10.0,3145.0,314.5,bunch schools oregon phasing 'gross meat surprise' lunch phasing,bunch schools oregon phasing 'gross meat surprise' lunch phasing ,bunch schools oregon phasing 'gross meat surprise' lunch phasing,[]
25,bunch schools oregon trying big experiment spoiler alert everyone loves it ,24.0,3033.0,126.375,bunch schools oregon trying big experiment spoiler alert everyone loves,bunch schools oregon trying big experiment spoiler alert everyone loves it ,bunch schools oregon trying big experiment spoiler alert everyone loves it ,[everyone]
26,stunning nasa video gave whole new way think happens sky,34.0,3078.0,90.52941176470588,stunning nasa video gave whole new way think happens sky,stunning nasa video gave whole new way think happens sky ,stunning nasa video gave whole new way think happens sky,[video]
27,nothing prepared mind bending nasa video happened atmosphere ,53.0,3059.0,57.716981132075475,nothing prepared mind bending nasa video happened atmosphere,nothing prepared mind bending nasa video happened atmosphere ,nothing prepared mind bending nasa video happened atmosphere ,[nothing]
28,think know happens atmosphere mind bending nasa video says maybe not ,23.0,3036.0,132.0,think know happens atmosphere mind bending nasa video says maybe,think know happens atmosphere mind bending nasa video says maybe not ,think know happens atmosphere mind bending nasa video says maybe not ,[know]
29,mind bent nasa video happened atmosphere it ,35.0,3050.0,87.14285714285714,mind bent nasa video happened atmosphere,mind bent nasa video happened atmosphere it ,mind bent nasa video happened atmosphere it ,[video]
30,took personal photos found awful tragedy put facebook well done ,101.0,3078.0,30.475247524752476,took personal photos found awful tragedy put facebook well done,took personal photos found awful tragedy put facebook well done ,took personal photos found awful tragedy put facebook well done ,[tragedy]
31,found people's personal photos awful tragedy put facebook ,69.0,3039.0,44.04347826086956,found people's personal photos awful tragedy put facebook,found people's personal photos awful tragedy put facebook ,found people's personal photos awful tragedy put facebook ,[tragedy]
32,touching story taking people's personal photos posting facebook,45.0,3066.0,68.13333333333334,touching story taking people's personal photos posting facebook,touching story taking people's personal photos posting facebook ,touching story taking people's personal photos posting facebook,[]
33,eva longoria got full audience people laugh applaud tomato,26.0,2981.0,114.65384615384616,eva longoria got full audience people laugh applaud tomato,eva longoria got full audience people laugh applaud tomato ,eva longoria got full audience people laugh applaud tomato,"[longoria, people]"
34,eva longoria got full audience people laugh applaud boo tomatoes,21.0,3024.0,144.0,eva longoria got full audience people laugh applaud boo tomatoes,eva longoria got full audience people laugh applaud boo tomatoes ,eva longoria got full audience people laugh applaud boo tomatoes,"[longoria, people]"
35,planning eating blt that's heavy t might want watch first,62.0,3095.0,49.91935483870968,planning eating blt that's heavy might want watch first,planning eating blt that's heavy t might want watch first ,planning eating blt that's heavy t might want watch first,[that]
36,famous actress visits talk show plug movie even,36.0,3038.0,84.38888888888889,famous actress visits talk show plug movie even,famous actress visits talk show plug movie even ,famous actress visits talk show plug movie even,[actress]
37,let strangers ask questions lesbians raised eyebrow game shamed us,84.0,3029.0,36.05952380952381,let strangers ask questions lesbians raised eyebrow game shamed us,let strangers ask questions lesbians raised eyebrow game shamed us ,let strangers ask questions lesbians raised eyebrow game shamed us,"[strangers, lesbians]"
38,people ask lesbian questions raised eyebrow game shames us,97.66666666666667,3051.3333333333335,31.242320819112628,people ask lesbian questions raised eyebrow game shames us,people ask lesbian questions raised eyebrow game shames us ,people ask lesbian questions raised eyebrow game shames us,[people]
39,dictator would really hate watch exactly,92.0,3026.5,32.89673913043478,dictator would really hate watch exactly,dictator would really hate watch exactly ,dictator would really hate watch exactly,[dictator]
40,people freak hits public watch happens hits him ,136.5,3046.0,22.315018315018314,people freak hits public watch happens hits,people freak hits public watch happens hits him ,people freak hits public watch happens hits him ,"[people, watch]"
41,lot celebs stare awkwardly camera without saying word here's they're quiet ,65.4,3064.0,46.850152905198776,lot celebs stare awkwardly camera without saying word here's they're quiet,lot celebs stare awkwardly camera without saying word here's they're quiet ,lot celebs stare awkwardly camera without saying word here's they're quiet ,"[celebs, they]"
42,bright eyed young people shared secret stomach dropped,33.833333333333336,3038.1666666666665,89.79802955665023,bright eyed young people shared secret stomach dropped,bright eyed young people shared secret stomach dropped ,bright eyed young people shared secret stomach dropped,"[people, stomach]"
43,bunch celebs actually shut ebola,68.0,3077.0,45.25,bunch celebs actually shut ebola,bunch celebs actually shut ebola ,bunch celebs actually shut ebola,[celebs]
44,thought sharing passion stomach dropped ,43.0,3024.0,70.32558139534883,thought sharing passion stomach dropped,thought sharing passion stomach dropped ,thought sharing passion stomach dropped ,[stomach]
45,seemingly okay individuals shared secret stomach dropped,35.0,3061.0,87.45714285714286,seemingly okay individuals shared secret stomach dropped,seemingly okay individuals shared secret stomach dropped ,seemingly okay individuals shared secret stomach dropped,"[individuals, stomach]"
46,secret made stomach drop also binds together,25.0,3059.0,122.36,secret made stomach drop also binds together,secret made stomach drop also binds together ,secret made stomach drop also binds together,"[secret, drop]"
47,probably lgbt kids need reminded gets better,10.0,3017.0,301.7,probably lgbt kids need reminded gets better,probably lgbt kids need reminded gets better ,probably lgbt kids need reminded gets better,[kids]
48,lgbt folks made lot progress except much one place ,14.0,3083.0,220.21428571428572,lgbt folks made lot progress except much one place,lgbt folks made lot progress except much one place ,lgbt folks made lot progress except much one place ,[folks]
49,think anti gay bias thing past you re probably high school student,17.0,3027.0,178.05882352941177,think anti gay bias thing past probably high school student,think anti gay bias thing past you re probably high school student ,think anti gay bias thing past you re probably high school student,"[thing, you]"
50,here's 'f' word that's hurting lot kids 'f' word,34.8,3056.6,87.83333333333334,here's 'f' word that's hurting lot kids 'f' word,here's 'f' word that's hurting lot kids 'f' word ,here's 'f' word that's hurting lot kids 'f' word,[that]
51,ben wakes goes job capitol hill every morning like many others not ,20.0,3083.0,154.15,ben wakes goes job capitol hill every morning like many others,ben wakes goes job capitol hill every morning like many others not ,ben wakes goes job capitol hill every morning like many others not ,[wakes]
52,says job like person he's one ,25.0,3005.0,120.2,says job like person he's one,says job like person he's one ,says job like person he's one ,"[job, he]"
53,tolerance washington it s true swear meet ben ,11.0,3042.0,276.54545454545456,tolerance washington true swear meet ben,tolerance washington it s true swear meet ben ,tolerance washington it s true swear meet ben ,[it]
54,he's ever worked capitol hill,20.0,3063.0,153.15,he's ever worked capitol hill,he's ever worked capitol hill ,he's ever worked capitol hill,[]
55, years ago tv show got very daring took ton guts air scene ,69.2,3046.6,44.02601156069364,years ago tv show got daring took ton guts air scene, years ago tv show got very daring took ton guts air scene , years ago tv show got very daring took ton guts air scene ,[show]
56, year old came best bro response gave feels,88.375,3366.0,38.08769448373409,year old came best bro response gave feels, year old came best bro response gave feels , year old came best bro response gave feels,"[year, response]"
57,reading 'dinner monoliths' joseph lamour,6.0,3078.0,513.0,reading 'dinner monoliths' joseph lamour,reading 'dinner monoliths' joseph lamour ,reading 'dinner monoliths' joseph lamour,[]
58,first dinner boyfriend parents went,19.0,3069.0,161.52631578947367,first dinner boyfriend parents went,first dinner boyfriend parents went ,first dinner boyfriend parents went,"[dinner, parents]"
59,music video favorite people they re even real people,20.0,3011.0,150.55,music video favorite people even real people,music video favorite people they re even real people ,music video favorite people they re even real people,[they]
60,one artist made parents uncomfortable they've ever,38.0,2548.0,67.05263157894737,one artist made parents uncomfortable they've ever,one artist made parents uncomfortable they've ever ,one artist made parents uncomfortable they've ever,"[artist, parents, they]"
61,gave kid barbie doll real proportions say next really says all ,149.6,3043.8,20.34625668449198,gave kid barbie doll real proportions say next really says,gave kid barbie doll real proportions say next really says all ,gave kid barbie doll real proportions say next really says all ,[proportions]
62,man groped walking street that's angry,49.0,3044.0,62.12244897959184,man groped walking street that's angry,man groped walking street that's angry ,man groped walking street that's angry,"[man, that]"
63,finally something makes sense coming ferguson mouths children ,12.0,3009.0,250.75,finally something makes sense coming ferguson mouths children,finally something makes sense coming ferguson mouths children ,finally something makes sense coming ferguson mouths children ,"[something, sense]"
64,old records spray paint became foundation movement changed world,7.0,3637.0,519.5714285714286,old records spray paint became foundation movement changed world,old records spray paint became foundation movement changed world ,old records spray paint became foundation movement changed world,[paint]
65,never occurred could explain economic inequality air travel guy it ,53.333333333333336,3757.4166666666665,70.4515625,never occurred could explain economic inequality air travel guy,never occurred could explain economic inequality air travel guy it ,never occurred could explain economic inequality air travel guy it ,[]
66,david suzuki blasts canadian mounties arrest grandson,19.0,3779.0,198.89473684210526,david suzuki blasts canadian mounties arrest grandson,david suzuki blasts canadian mounties arrest grandson ,david suzuki blasts canadian mounties arrest grandson,"[blasts, mounties]"
67,cops thought black teen rocket launcher neil taught lesson ,45.8,3046.2,66.51091703056768,cops thought black teen rocket launcher neil taught lesson,cops thought black teen rocket launcher neil taught lesson ,cops thought black teen rocket launcher neil taught lesson ,"[cops, rocket, neil]"
68,doctor asks question time can't ever answer it ,35.0,3052.0,87.2,doctor asks question time can't ever answer,doctor asks question time can't ever answer it ,doctor asks question time can't ever answer it ,[doctor]
69,may find things gross wait 'til see,37.0,3062.4,82.76756756756757,may find things gross wait 'til see,may find things gross wait 'til see ,may find things gross wait 'til see,"[things, til]"
70,poverty yes kids running amok yes healthy fresh vegetables actually yes ,2.0,1976.0,988.0,poverty yes kids running amok yes healthy fresh vegetables actually yes,poverty yes kids running amok yes healthy fresh vegetables actually yes ,poverty yes kids running amok yes healthy fresh vegetables actually yes ,[]
71,allow fuzzy pink puppet tell story trek across abortion desert,9.0,3066.0,340.6666666666667,allow fuzzy pink puppet tell story trek across abortion desert,allow fuzzy pink puppet tell story trek across abortion desert ,allow fuzzy pink puppet tell story trek across abortion desert,[puppet]
72,mother daughter movement literally inspires pants people,35.5,3067.5,86.40845070422536,mother daughter movement literally inspires pants people,mother daughter movement literally inspires pants people ,mother daughter movement literally inspires pants people,[movement]
73,feeling down here's make every minute day amazing,12.0,3653.0,304.4166666666667,feeling here's make every minute day amazing,feeling down here's make every minute day amazing ,feeling down here's make every minute day amazing,[]
74,talking money hard owing money harder hardest anyway ,20.0,3077.0,153.85,talking money hard owing money harder hardest anyway,talking money hard owing money harder hardest anyway ,talking money hard owing money harder hardest anyway ,[]
