,created_at,updated_at,clickability_test_id,excerpt,headline,lede,slug,eyecatcher_id,impressions,clicks,significance,first_place,winner,share_text,square,test_week,headline_tokens,entities,entities_array,entities_trend
0,2014-11-20 06:43:16.005,2016-04-02 16:33:38.062,546d88fb84ad38b2ce000024,Things that matter. Pass 'em on.,they re called walmart s worst nightmare really hope comes true ,"<p>When I saw *why* people are calling them ""Walmart's worst nightmare,"" I found myself wishing the nightmare would come true.</p>",theyre-being-called-walmarts-worst-nightmare-and-i-really-hope-it-comes-true-ma3-3b,546d6fa19ad54eec8d00002d,3052,150,100,True,True,Anyone who's ever felt guilty about shopping about Walmart will be relieved to see this.,,201446,they re called walmart s worst nightmare really hope comes true ,"[nightmare, hope]","[""nightmare"",""hope""]",27
1,2014-11-20 06:43:44.646,2016-04-02 16:25:54.021,546d88fb84ad38b2ce000024,Things that matter. Pass 'em on.,they re called walmart s worst nightmare really hope comes true ,"<p>When I saw *why* people are calling them ""Walmart's worst nightmare,"" I found myself wishing the nightmare would come true.</p>",theyre-being-called-walmarts-worst-nightmare-and-i-really-hope-it-comes-true-ma3-3c,546d6fa19ad54eec8d00002d,3033,122,14,False,False,Walmart is getting schooled by another retailer. And my God it does it feel good.,,201446,they re called walmart s worst nightmare really hope comes true ,"[nightmare, hope]","[""nightmare"",""hope""]",27
2,2014-11-20 06:44:59.804,2016-04-02 16:25:54.024,546d88fb84ad38b2ce000024,Things that matter. Pass 'em on.,they re called walmart s worst nightmare really hope comes true ,"<p>When I saw *why* people are calling them ""Walmart's worst nightmare,"" I found myself wishing the nightmare would come true.</p>",theyre-being-called-walmarts-worst-nightmare-and-i-really-hope-it-comes-true-ma3-3d,546d6fa19ad54eec8d00002d,3092,110,1,False,False,"Walmart may not be crapping their pants over their new competition, but I sincerely hope they do.",,201446,they re called walmart s worst nightmare really hope comes true ,"[nightmare, hope]","[""nightmare"",""hope""]",27
3,2014-11-20 06:54:36.335,2016-04-02 16:25:54.027,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5a,546bc55335992b86c8000043,3526,90,4,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
4,2014-11-20 06:54:57.878,2016-04-02 16:31:45.671,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5b,546d900426714cd2dd00002e,3506,120,100,True,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
5,2014-11-20 06:55:07.212,2016-04-02 16:25:54.029,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5c,546d900426714c6c44000038,3380,98,25,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
6,2014-11-20 06:55:20.347,2016-04-02 16:25:54.032,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5d,546d900426714c1ad900001e,3465,75,0,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
7,2014-11-20 06:55:43.497,2016-04-02 16:25:54.034,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5e,546d900484ad38b2ce000027,3431,86,3,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
8,2014-11-20 06:55:57.651,2016-04-02 16:25:54.039,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5f,546d900484ad385a0a000038,3394,76,0,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
9,2014-11-20 06:56:08.696,2016-04-02 16:25:54.043,546d902c26714c6c44000039,Things that matter. Pass 'em on.,sexism men sounds like,"<p>DISCLOSURE: I'm a dude. I have cried on multiple occasions this year. I have also yelled manly yells at sporting events. I am a stay-at-home-parent 1 day a week. I'm totally cool with having emotions. These are things than many struggle with because, well... I'll let Laci Green explain.</p>",this-is-what-sexism-against-men-sounds-like-am2-5g,546d900484ad381bbe00002b,3505,95,11,False,False,"If you ever wondered, ""but what about the men?,"" this one is all about the men.",,201446,sexism men sounds like,[men],"[""men""]",0
